task_id,profession,fee_low,fee_high,fee_unit,recommendation_note,necessity
RN-M3-01,弁護士,30000,100000,円,相続放棄の申述書作成・期限管理を依頼できます。借金や保証債務の調査も併せて相談可能,RECOMMENDED
RN-M3-01,司法書士,30000,50000,円,書類作成のみであれば司法書士でも対応可能,POSSIBLE
RN-M3-02,弁護士,30000,100000,円,信用情報照会・債権者対応を含めた包括的な調査を依頼できます,POSSIBLE
RN-M3-03,司法書士,30000,50000,円,出生から死亡までの戸籍を全国の役場から職権で取り寄せできます,RECOMMENDED
RN-M3-03,行政書士,20000,40000,円,戸籍収集と相続関係説明図の作成を依頼できます,POSSIBLE
RN-M3-07,税理士,30000,100000,円,財産評価・債務一覧の作成を依頼できます。相続税申告の前提として有用,POSSIBLE
RN-M3-11,司法書士,30000,80000,円,遺産分割協議書の作成を依頼できます。複数不動産がある場合は特に有用,RECOMMENDED
RN-M3-11,弁護士,50000,200000,円,協議が難航しそうな場合は弁護士の関与で交渉が円滑になります,POSSIBLE
RN-M3-22,弁護士,50000,100000,円,検認申立書の作成・申立てから検認期日の対応まで依頼できます,RECOMMENDED
RN-M3-22,司法書士,30000,80000,円,検認申立書の作成のみなら司法書士でも対応可能,POSSIBLE
RN-M4-01,税理士,50000,150000,円,準確定申告書の作成・提出を依頼できます。事業所得・不動産所得がある場合は特に推奨,RECOMMENDED
RN-M10-01,税理士,300000,1500000,円,相続税申告は財産規模・特例適用の判断が複雑なため、税理士依頼が事実上必須レベルです,REQUIRED
RN-M10-05,司法書士,10000,30000,円,銀行口座の解約手続きを代行できます。複数行ある場合に特に有用,POSSIBLE
RN-M10-07,行政書士,10000,30000,円,自動車の名義変更・廃車手続きを代行できます,POSSIBLE
RN-Y3-01,司法書士,50000,100000,円,相続登記は2024年4月から義務化(3年以内)。司法書士に依頼で確実かつ時短,RECOMMENDED
RN-D14-08,社労士,30000,100000,円,遺族年金の受給可否判定・申請書類作成を依頼できます,POSSIBLE
RN-D14-40,社労士,20000,50000,円,寡婦年金の受給要件確認と申請を依頼できます,POSSIBLE
RN-D14-41,社労士,20000,50000,円,死亡一時金の受給要件確認と申請を依頼できます,POSSIBLE
RN-D14-45,社労士,30000,150000,円,労災遺族補償給付の申請は専門性が高く、社労士依頼を強く推奨,RECOMMENDED
RN-D14-54,社労士,10000,30000,円,奨学金返還免除願の作成・JASSO対応を依頼できます,POSSIBLE
RN-D14-52,司法書士,30000,80000,円,銀行貸金庫の開扉立会いと相続手続きを依頼できます,POSSIBLE
RN-D14-60,行政書士,20000,50000,円,公営住宅の名義承継申請書類の作成を依頼できます,POSSIBLE
